Orig Order,RTH #,RSH #,TH,SH,Hanzi Parts of Speech,RTH Keyword,RSH Keyword,RTH Read,TH Read,SH Freq Meaning,SH Freq Pinyin,SH Freq,SH Freq Rank,SH Freq Group,Opt RTH,Opt RSH,RTH Lesson,RTH Merge Lesson,RSH Lesson,RSH Lesson Merged,SH and TH check,SH and TH keywords
1,1,1,一,一,,one,one,yī,yī,one/1/single/a(n),yi1,1.58%,2,1,1,1,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
2,2,2,二,二,,two,two,èr,èr,two/2,er4,0.14%,157,1,2,2,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
3,3,3,三,三,,three,three,sān,sān,three/3,san1,0.16%,125,1,3,3,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
10,10,10,十,十,,ten,ten,shí,shí,ten/10,shi2,0.18%,112,1,4,4,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
11,11,11,口,口,,mouth,mouth,kǒu,kǒu,mouth/(a measure word),kou3,0.10%,212,1,5,5,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
12,12,12,日,日,,day,day,rì,rì,Japan/day/sun/date/day of the month,ri4,0.19%,101,1,6,6,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
13,13,13,月,月,,month,month,yuè,yuè,moon/month,yue4,0.12%,169,1,7,7,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
15,15,15,目,目,,eye,eye,mù,mù,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,mu4,0.09%,239,1,8,8,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
20,20,21,明,明,,bright,bright,míng,míng,clear/bright/to understand/next/the Ming dynasty,ming2,0.16%,121,1,9,9,RTH1-L02,RTH1-L02,RSH1-L02,RSH1-L02,SH = TH,SH key = TH key
27,27,28,世,世,,generation,generation,shì,shì,life/age/generation/era/world/lifetime,shi4,0.11%,181,1,10,10,RTH1-L02,RTH1-L02,RSH1-L02,RSH1-L02,SH = TH,SH key = TH key
32,32,33,自,自,,oneself,oneself,zì,zì,from/self/oneself/since,zi4,0.32%,43,1,11,11,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
33,33,34,白,白,,white,white,bái,bái|bó,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous,bai2,0.08%,286,1,12,12,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
34,34,35,百,百,,hundred,hundred,bǎi,bǎi,hundred,bai3,0.05%,407,2,13,13,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
36,36,38,中,中,n./adj.,middle,middle,zhōng,zhōng|zhòng,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)",zhong1/zhong4,0.57%,14,1,14,14,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
37,37,39,千,千,,thousand,thousand,qiān,qiān,"thousand, a swing",qian1,0.04%,599,2,15,15,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
44,44,45,上,上,,above,above,shàng,shàng|shang|shǎng,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up",shang4,0.55%,16,1,16,16,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
45,45,46,下,下,,below,below,xià,xià,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter",xia4,0.32%,42,1,17,17,RTH1-L03,RTH1-L03,RSH1-L03,RSH1-L03,SH = TH,SH key = TH key
50,50,51,只,只,,only,only,zhǐ,zhǐ|zhī,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only",qi2/zhi1/zhi3,0.19%,97,1,18,18,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH = TH,SH key = TH key
8,8,8,八,八,,eight,eight,bā,bā,eight/8,ba1,0.05%,451,2,19,19,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
54,54,55,員,员,,employee,employee,yuán,yuán,person/employee/member,yuan2,0.10%,200,1,20,20,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH <> TH,SH key = TH key
55,55,58,見,见,,see,see,jiàn,jiàn|xiàn,"to see/to meet/to appear (to be sth)/to interview, appear",jian4/xian4,0.14%,153,1,21,25,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH <> TH,SH key = TH key
4,4,4,四,四,,four,four,sì,sì,four/4,si4,0.10%,226,1,22,22,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
9,9,9,九,九,,nine,nine,jiǔ,jiǔ,nine/9,jiu3,0.05%,445,2,23,24,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
66,66,70,的,的,,bull's eye,bull's eye,de,de,"(possessive particle)/of, really and truly, aim/clear",de/di2/di4,4.10%,1,1,24,27,RTH1-L04,RTH1-L04,RSH1-L04,RSH1-L04,SH = TH,SH key = TH key
68,68,72,直,直,,straight,straight,zhí,zhí,straight/vertical/frank/directly/straightly/upright,zhi2,0.09%,255,1,25,28,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
71,71,75,真,真,,true_,true_,zhēn,zhēn,real/true/genuine,zhen1,0.10%,204,1,26,29,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
72,72,76,工,工,n.,work,work,gōng,gōng,work/worker/skill/profession/trade/craft/labor,gong1,0.16%,118,1,27,30,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
75,75,79,有,有,,possess,possess,yǒu,yǒu,to have/there is/there are/to exist/to be,you3,0.92%,8,1,28,31,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
84,84,88,則,则,n.,rule,rule,zé,zé,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle,ze2,0.08%,284,1,29,32,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH <> TH,SH key = TH key
88,88,92,可,可,aux. v.,can,can,kě,kě|kè,can/may/able to/certain(ly)/to suit/(particle used for emphasis),ke3,0.37%,30,1,30,33,RTH1-L05,RTH1-L05,RSH1-L05,RSH1-L05,SH = TH,SH key = TH key
7,7,7,七,七,,seven,seven,qī,qī,seven/7,qi1,0.04%,530,2,31,34,RTH1-L01,RTH1-L01,RSH1-L01,RSH1-L01,SH = TH,SH key = TH key
